# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  9.794567493291115e-01   2.968094244895254e+41   1.021354375005431e+40   1.515804736505014e+40   5.392993178807485e+40   1.624395051565823e+41   
  9.844859053743802e-01   2.661414827293078e+40   1.255608042419899e+39   1.863458357072069e+39   1.002233032062292e+40   3.018658296232564e+40   
  9.845621021686271e-01   6.815059647696411e+40   3.056067874259967e+39   4.536417436748244e+39   2.238827407205057e+40   6.744832470110877e+40   
  9.841133511944993e-01   2.857766217864585e+41   1.102285770918893e+40   1.636326721060306e+40   6.603457671895889e+40   1.989404963665633e+41   
  9.849849230055396e-01   2.755260849865268e+40   1.348607852053328e+39   2.000791684148067e+39   1.186739784122751e+40   3.574071063365305e+40   
  9.858485568088688e-01   5.707843754118685e+41   1.769646002391342e+40   2.625538430202014e+40   8.575581869612496e+40   2.582535297646504e+41   
  9.821607527344798e-01   8.957256128650811e+39   4.053164243679383e+38   6.016333803072187e+38   3.005272808460241e+39   9.053119200145000e+39   
  9.803518537314884e-01   2.612886294387499e+40   1.205400995046006e+39   1.789120086813740e+39   9.170135469053760e+39   2.762423655593010e+40   
  9.829075879256595e-01   2.704925670818796e+40   1.321170526663698e+39   1.960327811847567e+39   1.119247558901064e+40   3.371103050376594e+40   
  9.832993166766391e-01   3.698638919969585e+37   1.051273994288349e+36   1.559112146597821e+36   1.946907811423250e+37   5.866044964353257e+37   
  9.828366859675415e-01   9.351543588647610e+39   4.084323350522794e+38   6.059237032862037e+38   3.639801010559790e+39   1.096111433145739e+40   
  9.814345050847457e-01   5.704626754569720e+39   2.602086619512405e+38   3.860421763361483e+38   2.367194292526473e+39   7.128788323412958e+39   
  9.803462680047832e-01   2.674575731044855e+37   8.092322104589029e+35   1.199705271228638e+36   1.320157382770597e+37   3.977621336065648e+37   
  9.763012248925709e-01   3.069268564880456e+41   4.073341277520237e+39   5.038098719988580e+39   1.039258957588776e+41   3.127620833777830e+41   
  9.847722273102073e-01   1.111812933174204e+39   5.177005453796651e+37   7.680908370380950e+37   4.818850546747435e+38   1.451178839543204e+39   
  9.777924062183438e-01   5.753749860291940e+40   2.810005713280259e+39   4.169116489222910e+39   2.433538690727730e+40   7.329342662290960e+40   
  9.755645491439457e-01   4.804575340748430e+40   2.147236233286129e+39   3.188006739422443e+39   1.597178141145163e+40   4.809882696586332e+40   
  9.832171714880733e-01   6.903868291604262e+41   1.548449224899408e+40   2.030516725220276e+40   3.209871952041387e+41   9.654325242966780e+41   
  9.738580735787674e-01   8.240175608184071e+39   4.038897710458612e+38   5.992266974854576e+38   3.528741463185440e+39   1.062746281634164e+40   
  9.856436040407466e-01   5.864507178998607e+40   2.536937727782402e+39   3.766175589522425e+39   1.788477514934072e+40   5.388296107726853e+40   
  9.826900222537975e-01   1.084108252298883e+40   4.781097167585128e+38   7.092917118681522e+38   4.260913364563000e+39   1.283159906600277e+40   
  9.821143625834776e-01   3.654999840288803e+41   1.494421168701607e+40   2.218564061424959e+40   9.718658237431943e+40   2.928140026980283e+41   
  9.829391453145848e-01   7.403711607386604e+39   3.122335910242541e+38   4.634800247381067e+38   2.232664774255249e+39   6.727002589678078e+39   
  9.819675223002222e-01   1.486422036307049e+40   6.628016236199856e+38   9.832785145440732e+38   5.926196764983209e+39   1.784684498053640e+40   
  9.821343790654844e-01   7.745600204652279e+39   3.610199551811510e+38   5.358276552948580e+38   2.787170095895933e+39   8.395389700882605e+39   
